Nom anglais;Nom francais;Lien Alucare;Lien Mister Tix;Lien Inteleria;Faction
Quaestor;Questeur;https://www.alucare.fr/wiki/guide-raid-shadow-legend/champion/guide-sur-questeur-artefact-et-maitrise/ ;;https://www.inteleria.com/champion-list/quaestor/;BANNER_LORDS
Dagger;Dague;https://www.alucare.fr/wiki/guide-raid-shadow-legend/champion/guide-sur-dague-artefact-et-maitrise/ ;;https://www.inteleria.com/champion-list/dagger/;BANNER_LORDS
Archer ;Archere ;https://www.alucare.fr/wiki/guide-raid-shadow-legend/champion/guide-sur-archere-artefact-et-maitrise/;;https://www.inteleria.com/champion-list/archer/;BANNER_LORDS
stalwart;Partisan;https://www.alucare.fr/wiki/guide-raid-shadow-legend/champion/guide-sur-partisan-artefact-et-maitrise/ ;;https://www.inteleria.com/champion-list/stalwart/;BANNER_LORDS
Word bearer;Porte-Parole;https://www.alucare.fr/wiki/guide-raid-shadow-legend/champion/guide-sur-porte-parole-artefact-et-maitrise/ ;;https://www.inteleria.com/champion-list/word-bearer/;BANNER_LORDS
Duelist;Duelliste;https://www.alucare.fr/wiki/guide-raid-shadow-legend/champion/guide-sur-duelliste-artefact-et-maitrise/ ;;https://www.inteleria.com/champion-list/duelist/;BANNER_LORDS
Commander;Commandeur;https://www.alucare.fr/wiki/guide-raid-shadow-legend/champion/guide-sur-commandeur-artefact-et-maitrise/ ;;https://www.inteleria.com/champion-list/commander/;BANNER_LORDS
Squire;Ecuyer;https://www.alucare.fr/wiki/guide-raid-shadow-legend/champion/guide-sur-ecuyer-artefact-et-maitrise/ ;;https://www.inteleria.com/champion-list/squire/;BANNER_LORDS
fireblade;Lamardente;https://www.alucare.fr/wiki/guide-raid-shadow-legend/champion/guide-sur-lamardente-artefact-et-maitrise/ ;;https://www.inteleria.com/champion-list/fireblade/;BANNER_LORDS
Frontline warrior;Guerrier de Front;https://www.alucare.fr/wiki/guide-raid-shadow-legend/champion/guide-sur-guerrier-de-front-artefact-et-maitrise/ ;;https://www.inteleria.com/champion-list/frontline-warrior/;BANNER_LORDS
Swordsman;Epeiste;https://www.alucare.fr/wiki/guide-raid-shadow-legend/champion/guide-sur-epeiste-artefact-et-maitrise/ ;;https://www.inteleria.com/champion-list/swordsman/;BANNER_LORDS
Pikeman;Piquier;https://www.alucare.fr/wiki/guide-raid-shadow-legend/champion/guide-sur-piquier-artefact-et-maitrise/ ;;https://www.inteleria.com/champion-list/pikeman/;BANNER_LORDS
Axeman;Fendeur;https://www.alucare.fr/wiki/guide-raid-shadow-legend/champion/guide-sur-fendeur-artefact-et-maitrise/ ;;https://www.inteleria.com/champion-list/axeman/;BANNER_LORDS
Bandit;Bandit;https://www.alucare.fr/wiki/guide-raid-shadow-legend/champion/guide-sur-bandit-artefact-et-maitrise/ ;;https://www.inteleria.com/champion-list/bandit/;BANNER_LORDS
Elenaril;Elenaril;https://www.alucare.fr/wiki/guide-raid-shadow-legend/champion/guide-sur-elenaril-artefact-et-maitrise/ ;https://mistertix.fr/liste-hero/elenaril/;https://www.inteleria.com/champion-list/elenaril/;HIGH_ELVES
Shirimani;Shirimani;https://www.alucare.fr/wiki/guide-raid-shadow-legend/champion/guide-sur-shirimani-artefact-et-maitrise/ ;https://mistertix.fr/liste-hero/shirimani/;https://www.inteleria.com/champion-list/shirimani/;HIGH_ELVES
Basileus Roanas;Basileus Roanas;https://www.alucare.fr/wiki/guide-raid-shadow-legend/champion/guide-sur-basileus-roanas-artefact-et-maitrise/ ;https://mistertix.fr/liste-hero/basileus-roanas/;https://www.inteleria.com/champion-list/basileus-roanas/;HIGH_ELVES
Lyssandra;Lyssandra;https://www.alucare.fr/wiki/guide-raid-shadow-legend/guide-sur-lyssandra-artefact-et-maitrise/ ;https://mistertix.fr/liste-hero/lyssandra-2/;https://www.inteleria.com/champion-list/lyssandra/;HIGH_ELVES
Royal Huntsman;Chasseur Royal;https://www.alucare.fr/wiki/guide-raid-shadow-legend/guide-sur-chasseur-royal-artefact-et-maitrise/ ;https://mistertix.fr/liste-hero/chasseur-royal/;https://www.inteleria.com/champion-list/royal-huntsman/;HIGH_ELVES
Yannica;Yannica;https://www.alucare.fr/wiki/guide-raid-shadow-legend/champion/guide-sur-yannica-artefact-et-maitrise/ ;https://mistertix.fr/liste-hero/yannica/;https://www.inteleria.com/champion-list/yannica/;HIGH_ELVES
Ithos;Ithos;https://www.alucare.fr/wiki/guide-raid-shadow-legend/guide-sur-ithos-artefact-et-maitrise/ ;https://mistertix.fr/liste-hero/ithos/;https://www.inteleria.com/champion-list/ithos/;HIGH_ELVES
Belanor;Belanor;https://www.alucare.fr/wiki/guide-raid-shadow-legend/guide-sur-belanor-artefact-et-maitrise/ ;https://mistertix.fr/liste-hero/belanor/;https://www.inteleria.com/champion-list/belanor/;HIGH_ELVES
Arbiter;Arbitre;https://www.alucare.fr/wiki/guide-raid-shadow-legend/guide-sur-arbitre-equipement-et-maitrise/;https://mistertix.fr/liste-hero/arbitre/;https://www.inteleria.com/champion-list/arbiter/;HIGH_ELVES
Pyxniel;Pyxniel;https://www.alucare.fr/wiki/guide-raid-shadow-legend/champion/guide-sur-pyxniel-artefact-et-maitrise/ ;;https://www.inteleria.com/champion-list/pyxniel/;HIGH_ELVES
Royal Guard;Garde Royal;https://www.alucare.fr/wiki/guide-raid-shadow-legend/guide-sur-garde-royal-artefact-et-maitrise/ ;https://mistertix.fr/liste-hero/garde-royal/;https://www.inteleria.com/champion-list/royal-guard/;HIGH_ELVES
Tayrel;Tayrel;https://www.alucare.fr/wiki/guide-raid-shadow-legend/guide-sur-tayrel-artefact-et-maitrise/ ;https://mistertix.fr/liste-hero/tayrel/;https://www.inteleria.com/champion-list/tayrel/;HIGH_ELVES
Thenasil;Thenasil;https://www.alucare.fr/wiki/guide-raid-shadow-legend/guide-sur-thenasil-artefact-et-maitrise/ ;https://mistertix.fr/liste-hero/thenasil/;https://www.inteleria.com/champion-list/thenasil/;HIGH_ELVES
Luthiea;Luthiea;https://www.alucare.fr/wiki/guide-raid-shadow-legend/guide-sur-luthiea-artefact-et-maitrise/ ;https://mistertix.fr/liste-hero/luthiea/;https://www.inteleria.com/champion-list/luthiea/;HIGH_ELVES
Vergis;Vergis;https://www.alucare.fr/wiki/guide-raid-shadow-legend/champion/guide-sur-vergis-artefact-et-maitrise/ ;https://mistertix.fr/liste-hero/vergis/;https://www.inteleria.com/champion-list/vergis/;HIGH_ELVES
Marksman;Archer d elite;https://www.alucare.fr/wiki/guide-raid-shadow-legend/champion/guide-sur-archer-delite-artefact-et-maitrise/ ;https://mistertix.fr/liste-hero/archer-delite/;https://www.inteleria.com/champion-list/marksman/;HIGH_ELVES
Jinglehunter;Chasse Grelot;https://www.alucare.fr/wiki/guide-raid-shadow-legend/guide-sur-chasse-grelot-jinglehunter-artefact-et-maitrise/ ;https://mistertix.fr/liste-hero/chasse-grelot/;https://www.inteleria.com/champion-list/jinglehunter/;HIGH_ELVES
Battlesage;Sageguerre ;https://www.alucare.fr/wiki/guide-raid-shadow-legend/guide-sur-sageguerre-battlesage-artefact-et-maitrise/ ;https://mistertix.fr/liste-hero/sageguerre/;https://www.inteleria.com/champion-list/battlesage/;HIGH_ELVES
Exemplar;Archetype;https://www.alucare.fr/wiki/guide-raid-shadow-legend/guide-sur-archetype-exemplar-artefact-et-maitrise/ ;https://mistertix.fr/liste-hero/archetype/;https://www.inteleria.com/champion-list/exemplar/;HIGH_ELVES
Apothecary;Apothicaire;https://www.alucare.fr/wiki/guide-raid-shadow-legend/guide-sur-apothicaire-equipement-et-maitrise/ ;https://mistertix.fr/liste-hero/apothicaire/;https://www.inteleria.com/champion-list/apothecary/;HIGH_ELVES
Avenger;Vengeresse;https://www.alucare.fr/wiki/guide-raid-shadow-legend/guide-sur-vengeresse-avenger-artefact-et-maitrise/ ;;https://www.inteleria.com/champion-list/avenger/;HIGH_ELVES
Elhain;Elhain;https://www.alucare.fr/wiki/guide-raid-shadow-legend/guide-sur-elhain-equipement-et-maitrise/ ;https://mistertix.fr/liste-hero/elhain/;https://www.inteleria.com/champion-list/elhain/;HIGH_ELVES
Adjudicator;Adjudicatrice;https://www.alucare.fr/wiki/guide-raid-shadow-legend/guide-sur-adjudicatrice-adjudicator-artefact-et-maitrise/ ;;https://www.inteleria.com/champion-list/adjudicator/;HIGH_ELVES
Heiress;Heritiere;https://www.alucare.fr/wiki/guide-raid-shadow-legend/guide-sur-heritiere-heiress-artefact-et-maitrise/ ;;https://www.inteleria.com/champion-list/heiress/;HIGH_ELVES
Magister;Magister;https://www.alucare.fr/wiki/guide-raid-shadow-legend/champion/guide-sur-magister-artefact-et-maitrise/ ;;https://www.inteleria.com/champion-list/magister/;HIGH_ELVES
Hyria;Hyrie;https://www.alucare.fr/wiki/guide-raid-shadow-legend/champion/guide-sur-hyrie-artefact-et-maitrise/ ;;https://www.inteleria.com/champion-list/hyria/;HIGH_ELVES
Interceptor;Intercepteur;https://www.alucare.fr/wiki/guide-raid-shadow-legend/champion/guide-sur-intercepteur-artefact-et-maitrise/ ;;https://www.inteleria.com/champion-list/interceptor/;HIGH_ELVES
Reliquary Tender;Garde Reliquaire;https://www.alucare.fr/wiki/guide-raid-shadow-legend/guide-sur-garde-reliquaire-reliquary-tender-artefact-et-maitrise/ ;https://mistertix.fr/liste-hero/garde-reliquaire/;https://www.inteleria.com/champion-list/reliquary-tender/;HIGH_ELVES
Fencer;Escrimeuse;https://www.alucare.fr/wiki/guide-raid-shadow-legend/champion/guide-sur-escrimeuse-artefact-et-maitrise/ ;;https://www.inteleria.com/champion-list/fencer/;HIGH_ELVES
Aristocrat;Aristocrate;https://www.alucare.fr/wiki/guide-raid-shadow-legend/champion/guide-sur-aristocrate-artefact-et-maitrise/ ;;https://www.inteleria.com/champion-list/aristocrat/;HIGH_ELVES
Jaeger;Jaeger;https://www.alucare.fr/wiki/guide-raid-shadow-legend/champion/guide-sur-jaeger-artefact-et-maitrise/ ;;https://www.inteleria.com/champion-list/jaeger/;HIGH_ELVES
Elfguard;Gardelfe;https://www.alucare.fr/wiki/guide-raid-shadow-legend/champion/guide-sur-gardelfe-artefact-et-maitrise/ ;;https://www.inteleria.com/champion-list/elfguard/;HIGH_ELVES
Roshcard The Tower;Roshcard la Tour;https://www.alucare.fr/wiki/guide-raid-shadow-legend/guide-sur-roshcard-la-tour-roshcard-the-tower-artefact-et-maitrise/ ;https://mistertix.fr/liste-hero/roshcard-la-tour/;https://www.inteleria.com/champion-list/roshcard-the-tower/;THE_SACRED_ORDER
Errol;Errol;https://www.alucare.fr/wiki/guide-raid-shadow-legend/guide-sur-errol-artefact-et-maitrise/ ;https://mistertix.fr/liste-hero/errol/;https://www.inteleria.com/champion-list/errol/;THE_SACRED_ORDER
Abbess;Abbesse;https://www.alucare.fr/wiki/guide-raid-shadow-legend/guide-sur-abbesse-abbess-artefact-et-maitrise/ ;https://mistertix.fr/liste-hero/abbesse/;https://www.inteleria.com/champion-list/abbess/;THE_SACRED_ORDER
Martyr;Martyre;https://www.alucare.fr/wiki/guide-raid-shadow-legend/guide-sur-martyre-martyr-artefact-et-maitrise/ ;https://mistertix.fr/liste-hero/marvin-sant/;https://www.inteleria.com/champion-list/martyr/;THE_SACRED_ORDER
Cupidus;Cupidon;https://www.alucare.fr/wiki/guide-raid-shadow-legend/guide-sur-cupidon-cupidus-artefact-et-maitrise/ ;https://mistertix.fr/liste-hero/cupidon/;https://www.inteleria.com/champion-list/cupidus/;THE_SACRED_ORDER
Sir Nicholas;Sieur Nicolas;https://www.alucare.fr/wiki/guide-raid-shadow-legend/guide-sur-sieur-nicolas-artefact-et-maitrise/ ;https://mistertix.fr/liste-hero/sieur-nicolas/;https://www.inteleria.com/champion-list/sir-nicholas/;THE_SACRED_ORDER
Venus;Venus;https://www.alucare.fr/wiki/guide-raid-shadow-legend/guide-sur-venus-artefact-et-maitrise/ ;https://mistertix.fr/liste-hero/venus/;https://www.inteleria.com/champion-list/venus/;THE_SACRED_ORDER
Canoness;Chanoinesse;https://www.alucare.fr/wiki/guide-raid-shadow-legend/champion/guide-sur-chanoinesse-artefact-et-maitrise/ ;https://mistertix.fr/liste-hero/chanoinesse/;https://www.inteleria.com/champion-list/canoness/;THE_SACRED_ORDER
Adriel;Adriel;https://www.alucare.fr/wiki/guide-raid-shadow-legend/champion/guide-sur-adriel-artefact-et-maitrise/ ;https://mistertix.fr/liste-hero/adriel/;https://www.inteleria.com/champion-list/adriel/;THE_SACRED_ORDER
Hope;Espoir;https://www.alucare.fr/wiki/guide-raid-shadow-legend/guide-sur-espoir-hope-artefact-et-maitrise/ ;https://mistertix.fr/liste-hero/espoir/;https://www.inteleria.com/champion-list/hope/;THE_SACRED_ORDER
Frostbringer;Perceneige;https://www.alucare.fr/wiki/guide-raid-shadow-legend/guide-sur-perceneige-frostbringer-artefact-et-maitrise/ ;https://mistertix.fr/liste-hero/perceneige/;https://www.inteleria.com/champion-list/frostbringer/;THE_SACRED_ORDER
Tallia;Tallia;https://www.alucare.fr/wiki/guide-raid-shadow-legend/guide-sur-tallia-artefact-et-maitrise/ ;https://mistertix.fr/liste-hero/tallia/;https://www.inteleria.com/champion-list/tallia/;THE_SACRED_ORDER
Juliana;Juliana;https://www.alucare.fr/wiki/guide-raid-shadow-legend/guide-sur-juliana-artefact-et-maitrise/ ;https://mistertix.fr/liste-hero/juliana/;https://www.inteleria.com/champion-list/juliana/;THE_SACRED_ORDER
Aothar;Aothar;https://www.alucare.fr/wiki/guide-raid-shadow-legend/guide-sur-aothar-artefact-et-maitrise/ ;https://mistertix.fr/liste-hero/aothar/;https://www.inteleria.com/champion-list/aothar/;THE_SACRED_ORDER
Relickeeper;Garderelique;https://www.alucare.fr/wiki/guide-raid-shadow-legend/guide-sur-garderelique-relickeeper-artefact-et-maitrise/ ;https://mistertix.fr/liste-hero/garderelique/;https://www.inteleria.com/champion-list/relickeeper/;THE_SACRED_ORDER
Missionary;Missionnaire;https://www.alucare.fr/wiki/guide-raid-shadow-legend/champion/guide-sur-missionnaire-artefact-et-maitrise/ ;https://mistertix.fr/liste-hero/missionnaire/;https://www.inteleria.com/champion-list/missionary/;THE_SACRED_ORDER
Romero;Romero;https://www.alucare.fr/wiki/guide-raid-shadow-legend/guide-sur-romero-artefact-et-maitrise/ ;https://mistertix.fr/liste-hero/romero/;https://www.inteleria.com/champion-list/romero/;THE_SACRED_ORDER
Lady Etessa;Dame Etessa;https://www.alucare.fr/wiki/guide-raid-shadow-legend/champion/guide-sur-dame-etessa-artefact-et-maitrise/ ;https://mistertix.fr/liste-hero/dame-etessa/;https://www.inteleria.com/champion-list/lady-etessa/;THE_SACRED_ORDER
Bushi;Bushi;https://www.alucare.fr/wiki/guide-raid-shadow-legend/champion/guide-sur-bushi-artefact-et-maitrise/ ;https://mistertix.fr/liste-hero/bushi/;https://www.inteleria.com/champion-list/bushi/;THE_SACRED_ORDER
Fenax;Fenax;https://www.alucare.fr/wiki/guide-raid-shadow-legend/champion/guide-sur-fenax-artefact-et-maitrise/ ;https://mistertix.fr/liste-hero/fenax/;https://www.inteleria.com/champion-list/fenax/;THE_SACRED_ORDER
Mistress of Hymns;Maitresse des Hymnes;https://www.alucare.fr/wiki/guide-raid-shadow-legend/guide-sur-maitresse-des-hymnes-artefact-et-maitrise/ ;https://mistertix.fr/liste-hero/maitresse-des-hymnes/;https://www.inteleria.com/champion-list/mistress-of-hymns/;THE_SACRED_ORDER
Cardinal;Cardinale;https://www.alucare.fr/wiki/guide-raid-shadow-legend/champion/guide-sur-cardinale-artefact-et-maitrise/ ;https://mistertix.fr/liste-hero/cardinale/;https://www.inteleria.com/champion-list/cardinal/;THE_SACRED_ORDER
Lightsworn;Devot de Lumiere;https://www.alucare.fr/wiki/guide-raid-shadow-legend/guide-sur-devot-de-lumiere-artefact-et-maitrise/ ;https://mistertix.fr/liste-hero/devot-de-lumiere/;https://www.inteleria.com/champion-list/lightsworn/;THE_SACRED_ORDER
Inquisiteur Shamael;Inquisiteur Shamael;https://www.alucare.fr/wiki/guide-raid-shadow-legend/champion/guide-sur-inquisiteur-shamael-artefact-et-maitrise/ ;;https://www.inteleria.com/champion-list/inquisitor-shamael/;THE_SACRED_ORDER
Sanguinia;Sanguinia;https://www.alucare.fr/wiki/guide-raid-shadow-legend/champion/guide-sur-sanguinia-artefact-et-maitrise/ ;;https://www.inteleria.com/champion-list/sanguinia/;THE_SACRED_ORDER
Athel;Athel;https://www.alucare.fr/wiki/guide-raid-shadow-legend/guide-sur-athel-artefact-et-maitrise/ ;https://mistertix.fr/liste-hero/athel/;https://www.inteleria.com/champion-list/athel/;THE_SACRED_ORDER
Witness;Temoin;https://www.alucare.fr/wiki/guide-raid-shadow-legend/champion/guide-sur-temoin-artefact-et-maitrise/ ;;https://www.inteleria.com/champion-list/witness/;THE_SACRED_ORDER
Hospitaller;Hospitaliere;https://www.alucare.fr/wiki/guide-raid-shadow-legend/champion/guide-sur-hospitaliere-artefact-et-maitrise/ ;;https://www.inteleria.com/champion-list/hospitaller/;THE_SACRED_ORDER
Chaplain;Aumoniere;https://www.alucare.fr/wiki/guide-raid-shadow-legend/champion/guide-sur-aumoniere-artefact-et-maitrise/ ;;https://www.inteleria.com/champion-list/chaplain/;THE_SACRED_ORDER
Lamellar;Mailles;https://www.alucare.fr/wiki/guide-raid-shadow-legend/champion/guide-sur-mailles-artefact-et-maitrise/ ;;https://www.inteleria.com/champion-list/lamellar/;THE_SACRED_ORDER
Templar;Templier;https://www.alucare.fr/wiki/guide-raid-shadow-legend/guide-sur-templier-templar-artefact-et-maitrise/ ;;https://www.inteleria.com/champion-list/templar/;THE_SACRED_ORDER
Penitent;Penitente;https://www.alucare.fr/wiki/guide-raid-shadow-legend/champion/guide-sur-penitente-artefact-et-maitrise/ ;;https://www.inteleria.com/champion-list/penitent/;THE_SACRED_ORDER
Warpriest;Pretresse de Guerre;https://www.alucare.fr/wiki/guide-raid-shadow-legend/guide-sur-pretresse-de-guerre-equipement-et-maitrise/ ;;https://www.inteleria.com/champion-list/warpriest/;THE_SACRED_ORDER
Judicator;Magistrat;https://www.alucare.fr/wiki/guide-raid-shadow-legend/champion/guide-sur-magistrat-artefact-et-maitrise/ ;;https://www.inteleria.com/champion-list/judicator/;THE_SACRED_ORDER
Maiden;Jouvencelle;https://www.alucare.fr/wiki/guide-raid-shadow-legend/champion/guide-sur-jouvencelle-artefact-et-maitrise/ ;;https://www.inteleria.com/champion-list/maiden/;THE_SACRED_ORDER
Mother Superior;Mere Superieur;https://www.alucare.fr/wiki/guide-raid-shadow-legend/champion/guide-sur-mere-superieur-artefact-et-maitrise/ ;;https://www.inteleria.com/champion-list/mother-superior/;THE_SACRED_ORDER
